stid,hisei,hisced,famstruc,sex,hlang,wealth,m2m_p,m2m_s,wkp2019,hsl2019,hel2019,fts2019,sa3,brthplace_aust_2011_ce_p,brthplace_elsewhere_2011_ce_p,lsh_eng_only_2011_ce_p,lsh_oth_lan_2011_ce_p,med_tot_hh_inc_wee_c2011,average_hh_size_c2011,lfs_unem_lfw_c11_m,lfs_tot_lforc_c11_m,n_lforc_c11_m
1336,45,5 ISCED 5B - TAFE Diploma,2 Nuclear family,1 Female,1 Language of test,.7,"1 No, never","1 No, never",1577.29,1 Year 12,Post-grad,3 Not studying,21402,110388,26276,130624,7159,1054,2.4,1563,35511,17908
1337,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.98,"1 No, never","1 No, never",,1 Year 12,BA,2 Part-time,50302,49124,34783,64428,19778,1702,2.1,1186,28999,7367
1338,88,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.46,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,40104,30838,15884,31082,15959,1073,2.5,655,12259,6246
1339,56,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.43,"1 No, never","1 No, never",,1 Year 12,BA,1 Full-time,80104,31955,13779,32602,13265,2175,2.9,406,14281,2475
1340,51,5 ISCED 5B - TAFE Diploma,2 Nuclear family,1 Female,1 Language of test,.01,"1 No, never","1 No, never",,1 Year 12,Cert III/IV/Dip,3 Not studying,30801,24078,3118,26179,1195,1952,2.8,213,9286,1411
1341,51,"3 ISCED 3B, 3C - Yr 10 or 11",2 Nuclear family,1 Female,1 Language of test,1.78,"1 No, never","1 No, never",938.63,1 Year 12,No qual,2 Part-time,40701,36030,8077,43266,1294,812,2.2,646,10357,7583
1342,53,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.34,"2 Yes, once","1 No, never",2277.85,1 Year 12,Cert III/IV/Dip,3 Not studying,80107,67563,16338,73268,11140,1963,2.8,866,26249,6328
1343,51,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.44,"1 No, never","1 No, never",,2 Year 11,Cert III/IV/Dip,3 Not studying,10402,67038,10415,73953,4304,880,2.4,1693,18439,11476
1344,54,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,2 Another language,1.77,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,11603,59177,38379,59503,38843,1168,3.2,2108,24395,10520
1345,66,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.21,"1 No, never","1 No, never",1016.21,1 Year 12,BA,3 Not studying,40403,38437,16822,39071,16413,1023,2.3,926,15634,7150
1346,33,2 ISCED 2 - Some secondary but didn't complete Yr 10,2 Nuclear family,1 Female,2 Another language,.7,"1 No, never","1 No, never",1635.06,1 Year 12,BA,3 Not studying,40402,37320,15975,39520,14288,946,2.3,1060,14312,7411
1347,66,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,2.38,"1 No, never","1 No, never",1098.44,1 Year 12,BA,3 Not studying,10501,21563,1464,22659,725,876,2.4,455,6248,3006
